"doc_id","filename","country_iso3","jurisdiction","year","issuing_authority","document_title","document_class","source_language","is_translation","regime_type","regime_source","regime_year","source_url","retrieved_date","page_count","sha256"
"USA_AIAP_2025","US1.pdf","USA","United States",2025,"Executive Office of the President","America's AI Action Plan","B","en",FALSE,"PENDING","PENDING","PENDING","PENDING","PENDING",28,"91d56ab3ddefe43f395bde31e1c3923fb37f47091275aaf2a0d7da500ff547f4"
"DEU_AISTRAT_2018","GER1.pdf","DEU","Germany",2018,"Federal Government (BMWi / BMBF / BMAS)","Artificial Intelligence Strategy","C","en",TRUE,"PENDING","PENDING","PENDING","PENDING","PENDING",45,"495afc5a567c433e82ffd2e4d7e9d4628304d0e426af6c7fa6bd31f74b305837"
"IND_NAIS_2018","IND1.pdf","IND","India",2018,"NITI Aayog","National Strategy for Artificial Intelligence (#AIforAll)","C","en",FALSE,"PENDING","PENDING","PENDING","PENDING","PENDING",109,"da5404dbb584c8956aae707dfcfe324dc1df11a179bc8288af0e898f4e37dcc5"
"SGP_NAIS_2019","SING1.pdf","SGP","Singapore",2019,"Smart Nation and Digital Government Office","National Artificial Intelligence Strategy","C","en",FALSE,"PENDING","PENDING","PENDING","PENDING","PENDING",45,"7564b06ab468eb9be27e4b9ced093f69a1b4b5737ff5d294fa5b4d7a5fbf22d9"
"SGP_NAIS2_2023","SING2.pdf","SGP","Singapore",2023,"Smart Nation Group / IMDA","National AI Strategy 2.0 - AI for the Public Good","C","en",FALSE,"PENDING","PENDING","PENDING","PENDING","PENDING",61,"d5a2fb56462ee951e32e0dabfba995c5aee09d9c5ba78f61b66ae28110b1fb60"
