"doc_id","filename","pages","lines","words","multicol_pages","sha256"
"USA_AIAP_2025","US1.pdf",28,932,9592,0,"91d56ab3ddefe43f395bde31e1c3923fb37f47091275aaf2a0d7da500ff547f4"
"DEU_AISTRAT_2018","GER1.pdf",45,1717,27505,0,"495afc5a567c433e82ffd2e4d7e9d4628304d0e426af6c7fa6bd31f74b305837"
"IND_NAIS_2018","IND1.pdf",109,3627,41466,0,"da5404dbb584c8956aae707dfcfe324dc1df11a179bc8288af0e898f4e37dcc5"
"SGP_NAIS_2019","SING1.pdf",45,1484,15045,27,"7564b06ab468eb9be27e4b9ced093f69a1b4b5737ff5d294fa5b4d7a5fbf22d9"
"SGP_NAIS2_2023","SING2.pdf",61,1084,10194,1,"d5a2fb56462ee951e32e0dabfba995c5aee09d9c5ba78f61b66ae28110b1fb60"
