"doc_id","jurisdiction","year","document_class","n_units","n_words","intensity_T1_surveillance","density_T1_surveillance","max_T1_surveillance","n3_T1_surveillance","intensity_T2_executive","density_T2_executive","max_T2_executive","n3_T2_executive","intensity_T3_infocontrol","density_T3_infocontrol","max_T3_infocontrol","n3_T3_infocontrol","intensity_T4_civilrights","density_T4_civilrights","max_T4_civilrights","n3_T4_civilrights","intensity_T5_economic","density_T5_economic","max_T5_economic","n3_T5_economic","intensity_T6_geopolitical","density_T6_geopolitical","max_T6_geopolitical","n3_T6_geopolitical","flag_rate"
"DEU_AISTRAT_2018","Germany",2018,"C",93,23899,0.0538,0.0538,1,0,0.1613,0.129,2,0,0.129,0.1183,2,0,0.9032,0.6774,3,3,1.6452,0.957,2,0,0.6344,0.4731,2,0,0.3011
"IND_NAIS_2018","India",2018,"C",150,39559,0.1067,0.0733,2,0,0.02,0.02,1,0,0.0133,0.0133,1,0,0.2467,0.1733,3,1,1.3667,0.9533,2,0,0.4467,0.4267,2,0,0.14
"SGP_NAIS_2019","Singapore",2019,"C",65,11729,0.2615,0.1538,2,0,0.2,0.1231,2,0,0.0154,0.0154,1,0,0.4308,0.3692,2,0,1.8308,0.9846,2,0,0.4615,0.3846,2,0,0.2462
"SGP_NAIS2_2023","Singapore",2023,"C",45,9000,0.0889,0.0667,2,0,0.2444,0.1778,2,0,0.1778,0.1556,2,0,0.5333,0.4222,2,0,1.5778,0.9556,2,0,0.7111,0.5778,2,0,0.1556
"USA_AIAP_2025","United States",2025,"B",36,8501,0.0833,0.0556,2,0,0.8056,0.4167,3,4,0.2778,0.1667,3,1,0.2222,0.2222,1,0,1.5833,0.8889,2,0,1.0278,0.6944,3,4,0.3333
